DT_NOTIFICACAO;REGISTROS
2014-03-19;1800
2015-02-14;2661
2016-01-12;2365
2016-12-09;294
2017-11-06;349
2018-10-04;162
2023-02-09;2688
2023-04-21;2689
2024-01-07;659
2019-09-01;148
2020-07-29;453
2021-04-16;3419
2021-06-26;350
2022-03-14;2451
2022-05-24;2958
2014-02-24;1257
2014-06-21;362
2015-01-22;2224
2015-12-20;472
2016-11-16;453
2017-10-14;128
2018-09-11;111
2019-08-09;451
2020-07-06;685
2021-06-03;819
2023-03-04;1912
2024-01-30;3884
2014-05-04;1747
2015-04-01;11596
2016-02-27;2664
2017-01-24;414
2017-12-22;220
2018-11-19;224
2019-10-17;432
2020-09-13;116
2021-08-11;295
2022-07-09;167
2023-06-06;2745
2014-04-11;4874
2015-03-09;12717
2016-02-04;3744
2017-01-01;122
2017-11-29;306
2018-10-27;90
2019-09-24;492
2020-08-21;181
2021-07-19;421
2022-06-16;486
2023-05-14;2118
2015-07-27;470
2015-08-02;95
2017-05-21;67
2017-05-27;96
2019-01-04;746
2019-03-16;1914
2023-07-28;578
2019-03-22;3814
2020-10-29;270
2021-01-08;391
2021-01-14;562
2022-08-24;154
2022-11-09;162
2015-08-19;350
2015-08-25;301
2017-02-16;486
2017-06-13;140
2017-06-19;208
2018-12-12;383
2022-08-01;343
2022-11-26;59
2022-12-02;121
2023-07-05;912
2019-04-08;6501
2019-04-14;2675
2020-10-06;296
2021-01-31;362
2021-02-06;478
2021-09-09;374
2015-06-11;1724
2015-11-27;669
2014-02-01;196
2017-07-12;97
2017-09-21;258
2019-05-07;7806
2023-06-12;2611
2019-07-17;778
2019-10-23;403
2021-03-01;2817
2021-08-17;302
2022-10-09;42
2022-12-25;61
2015-11-04;472
2015-07-04;184
2017-04-28;191
2017-08-29;184
2017-12-05;309
2019-02-21;3117
2023-01-17;1438
2023-05-20;2054
2014-01-09;266
2019-05-30;5165
2019-09-30;457
2020-11-21;155
2021-03-24;2908
2021-07-25;153
2022-09-16;105
2014-06-04;1733
2015-05-02;3581
2016-01-06;2279
2016-12-03;150
2016-12-15;327
2017-08-21;108
2022-03-08;1693
2017-11-12;147
2018-01-22;521
2018-07-19;117
2020-08-04;380
2021-04-10;1549
2021-07-02;444
2014-02-18;884
2015-01-16;1403
2015-01-28;3501
2015-12-26;587
2016-04-21;1531
2017-03-19;148
2023-02-26;1502
2023-04-04;8629
2024-01-24;2874
2018-09-17;123
2019-07-09;470
2019-08-15;357
2019-12-10;584
2020-06-05;734
2022-05-07;2405
2015-06-17;1291
2014-10-14;366
2014-07-20;161
2016-10-30;117
2017-07-06;88
2017-09-27;278
2021-05-17;2782
2021-10-27;285
2022-01-21;263
2022-12-31;65
2024-02-07;5264
2018-03-09;336
2018-06-03;78
2019-02-04;2640
2014-02-07;572
2020-06-19;733
2021-02-23;2113
2015-10-04;111
2014-12-13;144
2016-06-06;549
2016-08-31;157
2017-05-04;278
2018-08-02;104
2022-03-22;2819
2023-01-11;1187
2023-02-17;2977
2023-09-14;709
2023-12-09;521
2015-11-10;541
2019-05-24;5728
2019-06-30;807
2020-01-25;1215
2020-04-20;1504
2020-12-22;329
2014-08-29;223
2014-09-04;269
2016-04-07;3780
2017-08-12;51
2018-04-18;310
2018-04-24;357
2023-07-16;294
2023-07-22;327
2019-03-28;5100
2019-11-26;539
2019-12-02;619
2021-04-01;2384
2021-12-12;273
2022-11-15;73
2014-05-21;3479
2015-09-25;285
2015-08-13;311
2016-07-16;69
2016-07-22;103
2018-01-08;281
2022-08-07;89
2023-10-30;1221
2018-01-14;146
2020-03-05;4162
2020-03-11;3922
2021-02-12;1223
2021-08-28;127
2021-09-03;263
2014-07-14;640
2015-06-23;993
2016-02-21;2003
2016-10-24;348
2017-06-30;122
2018-06-09;77
2023-09-06;574
2019-02-10;1227
2019-10-11;369
2020-09-19;148
2021-05-26;1702
2022-01-27;280
2022-09-30;75
2014-04-05;1441
2014-12-07;123
2015-09-28;398
2016-05-31;538
2017-05-10;256
2017-11-23;264
2023-04-13;8233
2023-12-15;1074
2018-11-02;86
2019-05-18;3183
2020-04-26;738
2020-12-28;434
2021-10-19;319
2022-06-22;909
2015-05-08;6100
2014-11-23;97
2016-04-04;4938
2016-09-17;77
2017-08-15;129
2018-01-28;168
2023-05-03;7078
2023-07-13;839
2023-12-26;1392
2019-06-10;3984
2020-10-20;296
2021-07-08;485
2021-12-21;793
2022-03-02;1115
2022-08-15;263
2014-07-03;762
2014-12-16;495
2016-04-27;2273
2017-09-07;56
2019-01-18;937
2019-03-08;3549
2023-09-23;439
2021-11-28;170
2022-03-25;2788
2022-05-13;3871
2023-02-20;1959
2023-04-10;10490
2023-08-05;341
2015-11-13;538
2020-05-30;349
2020-07-18;231
2020-11-12;296
2020-12-31;237
2021-10-10;85
2014-02-10;785
2014-04-25;5820
2015-03-20;12121
2015-12-06;313
2016-02-15;5314
2017-01-15;162
2021-05-20;2039
2022-10-03;141
2023-03-15;6237
2023-08-31;717
2018-03-18;151
2018-08-28;114
2018-11-10;111
2019-10-08;433
2020-06-22;1074
2020-12-08;328
2015-04-15;11975
2015-06-03;1903
2016-11-25;386
2017-02-07;471
2017-03-28;473
2018-01-05;261
2022-09-10;31
2018-02-23;364
2018-09-20;136
2019-08-18;193
2019-10-31;522
2019-12-19;662
2021-06-12;438
2014-06-07;689
2015-02-05;4457
2014-08-23;105
2017-03-05;213
2018-04-30;181
2018-07-10;158
2023-10-13;642
2023-10-19;1020
2018-07-16;138
2018-12-29;278
2019-09-10;400
2019-11-20;413
2020-05-04;2275
2020-05-10;514
2014-05-15;4056
2016-03-09;5668
2014-09-15;364
2014-11-03;412
2014-10-28;381
2018-12-06;371
2020-04-17;2140
2020-09-30;369
2022-01-10;302
2022-02-10;435
2023-05-23;4918
2023-11-05;434
2015-03-26;13384
2014-07-26;128
2014-10-05;93
2016-05-17;1206
2016-07-30;50
2016-11-05;115
2022-04-20;4945
2022-07-03;250
2023-06-15;1529
2023-08-25;729
2024-02-13;3749
2018-03-12;405
2018-05-28;291
2020-01-08;1406
2020-06-28;271
2020-09-07;133
2021-11-02;158
2015-03-03;10652
2016-08-25;141
2016-10-13;211
2016-12-26;352
2018-02-17;178
2018-04-07;162
2018-06-20;185
2018-08-08;113
2019-12-13;572
2020-01-31;2731
2024-01-21;1282
2014-03-13;1556
2014-11-17;388
2016-01-18;3287
2015-07-24;363
2016-03-29;5030
2016-09-23;180
2023-04-27;6197
2024-01-01;135
2017-05-30;280
2018-02-03;194
2018-10-10;145
2019-06-16;1116
2020-02-20;4458
2020-10-26;324
2014-06-27;963
2015-12-14;1362
2014-08-15;244
2014-08-03;121
2017-09-01;135
2017-09-13;247
2021-11-22;432
2022-03-31;3303
2023-08-11;635
2017-10-20;329
2019-01-12;396
2019-01-24;1490
2019-03-02;1598
2020-05-24;301
2020-07-12;235
2015-01-05;1158
2015-09-11;207
2016-08-05;138
2017-04-11;391
2019-04-28;3156
2019-07-23;801
2023-11-25;439
2024-02-19;8468
2020-01-02;909
2020-03-28;964
2021-03-04;2068
2021-11-08;360
2022-04-14;3773
2022-12-19;218
2015-07-10;227
2016-10-07;190
2018-04-01;144
2018-05-08;323
2018-05-20;95
2018-06-26;183
2022-12-05;176
2014-01-15;301
2021-03-18;2671
2021-04-24;1609
2021-05-06;2824
2022-10-17;156
2022-10-29;60
2014-06-13;1234
2015-02-17;2885
2015-10-18;131
2016-06-23;209
2016-06-29;196
2017-02-27;222
2022-05-27;1761
2022-06-02;1680
2023-01-31;2106
2023-10-07;455
2017-11-03;197
2015-10-24;160
2020-05-16;562
2021-01-20;718
2021-09-20;404
2021-09-26;133
2014-09-21;70
2016-01-26;3226
2016-02-01;4069
2016-03-15;5226
2016-03-21;5969
2014-09-27;106
2023-06-29;1147
2021-12-29;651
2022-01-04;174
2022-02-16;706
2022-02-22;874
2023-05-11;6275
2023-06-23;1254
2017-06-07;245
2017-07-20;88
2017-07-26;91
2018-11-30;261
2020-08-24;288
2020-08-30;136
2014-05-01;2733
2014-12-30;596
2015-09-05;62
2016-08-11;151
2017-04-17;427
2017-12-16;129
2023-03-21;7362
2023-11-19;377
2018-08-22;142
2019-07-29;661
2020-04-03;2195
2020-12-02;353
2021-08-08;105
2022-07-15;367
2015-04-09;11229
2015-05-28;2744
2016-10-01;63
2016-11-19;138
2018-03-26;449
2018-05-14;352
2022-10-23;30
2022-12-11;81
2019-09-18;486
2019-11-06;477
2021-03-12;2258
2021-04-30;2541
2021-06-18;864
2022-09-04;43
2015-07-30;414
2014-09-01;276
2016-06-26;69
2017-05-24;224
2018-04-21;117
2019-03-19;4400
2022-11-06;55
2023-07-25;735
2023-10-04;964
2020-02-14;4266
2020-11-01;93
2021-01-11;553
2021-09-29;366
2021-12-09;470
2022-08-27;64
2015-07-07;544
2014-08-09;103
2016-06-03;433
2017-05-01;124
2018-03-29;260
2019-02-24;1454
2014-01-06;246
2020-01-22;2836
2020-12-19;176
2021-11-16;426
2023-08-17;736
2014-07-17;600
2014-12-27;221
2015-06-14;464
2015-11-24;667
2016-05-11;1251
2016-10-21;276
2014-01-29;515
2019-10-20;207
2020-09-16;322
2021-08-14;112
2022-07-12;464
2023-06-09;1433
2017-01-27;366
2017-04-08;172
2017-12-25;73
2018-03-06;361
2018-11-22;309
2019-02-01;1892
2014-02-21;975
2014-06-24;1115
2015-01-19;2223
2015-05-22;3315
2015-12-17;1178
2016-04-18;3706
2020-10-09;273
2021-09-06;215
2022-08-04;302
2023-07-02;545
2016-11-13;104
2017-03-16;496
2017-10-11;309
2018-09-08;51
2018-12-15;178
2019-11-12;538
2014-03-22;868
2014-06-01;758
2015-02-11;5881
2016-01-15;2174
2016-12-06;397
2017-11-09;270
2023-02-06;2792
2023-04-24;9575
2018-10-01;154
2019-06-19;2321
2019-09-04;367
2020-07-26;168
2021-04-13;3617
2021-06-29;541
2015-03-06;9756
2016-02-07;1571
2016-12-29;328
2017-08-01;89
2017-12-02;118
2018-10-24;165
2023-01-14;521
2023-01-20;1095
2023-05-17;5384
2019-05-27;6158
2019-09-27;393
2020-08-18;353
2021-03-21;1024
2021-07-22;332
2022-06-13;1157
2015-03-29;4324
2015-09-14;259
2015-11-30;946
2017-01-21;165
2017-07-09;37
2017-09-24;81
2022-07-06;490
2022-12-22;211
2014-02-04;603
