DT_NOTIFICACAO;NM_MUNICIPIO;REGISTROS
2015-12-01;Praia Grande;35
2016-11-01;Guarujá;16
2016-06-01;Oriente;1
2017-06-01;Bariri;1
2023-12-01;Santo Antônio do Aracanguá;4
2015-03-01;Dolcinópolis;19
2019-05-01;Florínea;4
2015-06-01;Tanabi;37
2019-07-01;Campo Limpo Paulista;4
2024-01-01;Botucatu;776
2024-02-01;Braúna;2
2015-05-01;Cruzeiro;47
2014-09-01;Guaraci;2
2017-12-01;Palmital;5
2017-03-01;Itaporanga;1
2020-08-01;Teodoro Sampaio;19
2023-08-01;Paraibuna;1
2017-02-01;Alumínio;3
2020-06-01;Ribeirão Bonito;1
2022-01-01;Limeira;1
2022-03-01;Igarapava;2
2014-04-01;Orlândia;11
2016-02-01;Auriflama;57
2019-01-01;General Salgado;13
2016-08-01;Franca;26
2018-05-01;Dourado;2
2020-02-01;Santa Fé do Sul;23
2023-06-01;São Vicente;8
2023-01-01;Valinhos;107
2016-05-01;Piracicaba;857
2016-05-01;Avaré;1
2023-01-01;Iaras;2
2014-08-01;Catanduva;25
2015-10-01;Tarabai;5
2017-09-01;Brodowski;3
2018-09-01;Vinhedo;1
2020-03-01;Neves Paulista;5
2022-04-01;Santana da Ponte Pensa;67
2023-07-01;Ariranha;9
2023-11-01;Álvares Machado;9
2015-03-01;Martinópolis;42
2021-01-01;Ilha Comprida;1
2022-07-01;Guarulhos;18
2022-09-01;Lorena;1
2016-12-01;São Roque;10
2017-07-01;Sorocaba;112
2015-05-01;Taubaté;731
2014-04-01;Nova Canaã Paulista;2
2021-05-01;Narandiba;17
2022-04-01;Pracinha;3
2024-01-01;Areias;6
2019-02-01;Pilar do Sul;3
2020-03-01;Conchas;3
2021-06-01;Castilho;14
2014-11-01;Viradouro;7
2018-05-01;Cachoeira Paulista;10
2023-09-01;Jaci;11
2024-02-01;Bananal;39
2020-03-01;Casa Branca;289
2022-05-01;Mira Estrela;63
2015-08-01;Jundiaí;38
2020-03-01;Guaíra;76
2020-08-01;Conchal;8
2023-11-01;Floreal;3
2016-11-01;Carapicuíba;5
2016-01-01;Colômbia;9
2023-04-01;Urupês;8
2023-12-01;Aguaí;5
2014-01-01;São João do Pau d'Alho;1
2021-06-01;Paraguaçu Paulista;28
2014-06-01;Santo Antônio do Jardim;1
2020-09-01;Ilhabela;137
2022-09-01;Ipuã;1
2015-01-01;Herculândia;1
2018-03-01;Araçatuba;70
2022-03-01;Americana;945
2023-04-01;Salto;1237
2024-02-01;São Francisco;2
2015-06-01;Cedral;4
2017-10-01;Promissão;2
2018-05-01;Garça;1
2019-11-01;Pindamonhangaba;80
2022-06-01;Jarinu;12
2015-11-01;Descalvado;12
2022-04-01;Altinópolis;7
2014-01-01;Cabreúva;2
2015-09-01;Birigui;78
2021-04-01;Jaci;33
2023-11-01;Piraju;4
2016-04-01;Ibirá;108
2017-08-01;Cravinhos;2
2017-01-01;Macedônia;1
2023-04-01;Luiziânia;9
2015-12-01;Itariri;3
2015-01-01;Canitar;1
2016-05-01;Tremembé;98
2016-02-01;Itapevi;82
2019-06-01;Matão;249
2021-09-01;Diadema;15
2016-05-01;Valparaíso;3
2016-05-01;Uchoa;8
2018-04-01;Pedro de Toledo;1
2019-05-01;Guapiaçu;127
2019-05-01;Sagres;53
2021-04-01;Serrana;5
2015-05-01;Indiaporã;19
2018-07-01;Santa Isabel;3
2020-03-01;Mirandópolis;313
2018-06-01;Ilha Solteira;4
2015-07-01;Salmourão;12
2021-04-01;Carapicuíba;19
2017-12-01;Jales;12
2018-06-01;Igaraçu do Tietê;1
2018-10-01;Uchoa;31
2021-05-01;Araras;126
2022-08-01;Tietê;2
2014-05-01;Americana;2105
2019-11-01;Sumaré;13
2021-08-01;Piacatu;1
2015-06-01;Urupês;8
2014-07-01;Pompéia;6
2017-10-01;Borborema;2
2019-07-01;Ouro Verde;45
2019-10-01;Américo de Campos;37
2020-06-01;Leme;151
2015-04-01;Canas;26
2018-05-01;São Sebastião;106
2018-02-01;São João da Boa Vista;12
2019-04-01;Apiaí;5
2021-05-01;Guariba;41
2014-07-01;Iguape;4
2015-08-01;Mogi Guaçu;58
2015-08-01;Itapecerica da Serra;1
2021-09-01;Pontes Gestal;4
2023-12-01;Caraguatatuba;566
2014-04-01;Rosana;258
2019-01-01;Urânia;11
2014-06-01;Santa Rosa de Viterbo;38
2023-12-01;Guapiara;5
2015-12-01;Bocaina;5
2023-07-01;Monte Alto;20
2023-07-01;São Pedro do Turvo;5
2014-04-01;Oscar Bressane;7
2018-04-01;Taquaritinga;40
2020-08-01;Taiaçu;1
2021-05-01;Rincão;14
2014-06-01;Pracinha;1
2018-03-01;Bananal;2
2022-02-01;Santópolis do Aguapeí;24
2023-09-01;Santo Antônio de Posse;10
2016-01-01;Embu das Artes;34
2018-03-01;Braúna;4
2019-06-01;Novais;12
2021-04-01;Guarujá;1949
2021-04-01;Igaratá;1
2021-10-01;Presidente Epitácio;2
2023-01-01;Nantes;1
2017-09-01;Piratininga;3
2020-06-01;Barra do Turvo;2
2022-09-01;Campos Novos Paulista;1
2024-01-01;Bálsamo;2
2023-07-01;Pirassununga;34
2024-02-01;São Joaquim da Barra;41
2014-09-01;Arealva;1
2015-07-01;Cajamar;2
2015-10-01;Pedrinhas Paulista;2
2016-01-01;Álvares Machado;100
2017-01-01;Presidente Prudente;159
2019-08-01;Sandovalina;2
2021-11-01;Cabreúva;2
2022-05-01;Guareí;1
2023-10-01;Rincão;28
2015-02-01;Caçapava;44
2014-10-01;Aparecida d'Oeste;3
2018-12-01;São José do Rio Preto;733
2019-01-01;Presidente Venceslau;22
2014-11-01;São João de Iracema;1
2015-06-01;Luiziânia;3
2017-05-01;Santa Albertina;1
2021-02-01;Natividade da Serra;1
2021-01-01;Potirendaba;9
2022-04-01;Araraquara;7913
2015-02-01;Barretos;110
2016-03-01;Rancharia;179
2016-04-01;Vargem Grande Paulista;15
2017-06-01;Sumaré;14
2018-10-01;Jaguariúna;21
2021-06-01;Mairiporã;21
2016-08-01;General Salgado;1
2017-07-01;Cabrália Paulista;1
2021-10-01;Jaú;10
2022-04-01;Bady Bassitt;172
2022-05-01;Capela do Alto;11
2015-07-01;Pirapozinho;5
2018-02-01;Guararema;7
2021-04-01;Alvinlândia;10
2014-03-01;Franco da Rocha;300
2021-06-01;Floreal;8
2022-05-01;São Sebastião da Grama;1
2018-09-01;Piracicaba;30
2018-02-01;Pederneiras;1
2020-10-01;Atibaia;15
2022-06-01;Catanduva;487
2022-04-01;Itu;140
2014-09-01;Jardinópolis;23
2016-05-01;Amparo;23
2019-08-01;Itaporanga;1
2022-08-01;Porto Ferreira;11
2020-08-01;Guaratinguetá;22
2014-07-01;Caconde;2
2016-06-01;Aspásia;2
2017-02-01;Mairiporã;6
2019-06-01;Emilianópolis;5
2020-02-01;Presidente Bernardes;165
2022-03-01;Santa Cruz do Rio Pardo;21
2015-09-01;Colina;28
2016-01-01;Cajuru;11
2018-11-01;Jaguariúna;12
2022-07-01;Porto Ferreira;8
2017-10-01;Americana;42
2021-02-01;Ribeirão Preto;581
2021-09-01;Taquaritinga;7
2014-04-01;Santa Rita d'Oeste;6
2014-08-01;Mococa;19
2019-10-01;Sarapuí;1
2023-09-01;Tarabai;1
2017-08-01;Registro;1
2017-11-01;Altinópolis;1
2018-04-01;Salesópolis;1
2022-02-01;Buritama;443
