"dt_notificacao","casos"
"2024-01-01","139"
"2024-01-02","439"
"2024-01-03","681"
"2024-01-04","802"
"2024-01-05","900"
"2024-01-06","567"
"2024-01-07","597"
"2024-01-08","1313"
"2024-01-09","1266"
"2024-01-10","1221"
"2024-01-11","1112"
"2024-01-12","1239"
"2024-01-13","733"
"2024-01-14","728"
"2024-01-15","1909"
"2024-01-16","1772"
"2024-01-17","1822"
"2024-01-18","1788"
"2024-01-19","1799"
"2024-01-20","1034"
"2024-01-21","1177"
"2024-01-22","2776"
"2024-01-23","2415"
"2024-01-24","2594"
"2024-01-25","2469"
"2024-01-26","2810"
"2024-01-27","1784"
"2024-01-28","1694"
"2024-01-29","3925"
"2024-01-30","3465"
"2024-01-31","3163"
"2024-02-01","3494"
"2024-02-02","3249"
"2024-02-03","2345"
"2024-02-04","2006"
"2024-02-05","5120"
"2024-02-06","4900"
"2024-02-07","4940"
"2024-02-08","4961"
"2024-02-09","4829"
"2024-02-10","2925"
"2024-02-11","2586"
"2024-02-12","4268"
"2024-02-13","3948"
"2024-02-14","6040"
"2024-02-15","6780"
"2024-02-16","7043"
"2024-02-17","4238"
"2024-02-18","4046"
"2024-02-19","9514"
"2024-02-20","9318"
"2024-02-21","8372"
"2024-02-22","8512"
"2024-02-23","8598"
"2024-02-24","4844"
"2024-02-25","4587"
"2024-02-26","11071"
"2024-02-27","10824"
"2024-02-28","10462"
"2024-02-29","10287"
"2024-03-01","10347"
"2024-03-02","5743"
"2024-03-03","6074"
"2024-03-04","14593"
"2024-03-05","13523"
"2024-03-06","13068"
"2024-03-07","12637"
"2024-03-08","12006"
"2024-03-09","6926"
"2024-03-10","6788"
"2024-03-11","16684"
"2024-03-12","14595"
"2024-03-13","15065"
"2024-03-14","15258"
"2024-03-15","13884"
"2024-03-16","8630"
"2024-03-17","7864"
"2024-03-18","20552"
"2024-03-19","19443"
"2024-03-20","19896"
"2024-03-21","20173"
"2024-03-22","17552"
"2024-03-23","10296"
"2024-03-24","9865"
"2024-03-25","27272"
"2024-03-26","24207"
"2024-03-27","22446"
"2024-03-28","18074"
"2024-03-29","11088"
"2024-03-30","11360"
"2024-03-31","9256"
"2024-04-01","25507"
"2024-04-02","22136"
"2024-04-03","20134"
"2024-04-04","20089"
"2024-04-05","19638"
"2024-04-06","10725"
"2024-04-07","10244"
"2024-04-08","27143"
"2024-04-09","25193"
"2024-04-10","24638"
"2024-04-11","24515"
"2024-04-12","21909"
"2024-04-13","12486"
"2024-04-14","10866"
"2024-04-15","28538"
"2024-04-16","25550"
"2024-04-17","25385"
"2024-04-18","21515"
"2024-04-19","19475"
"2024-04-20","11635"
"2024-04-21","10333"
"2024-04-22","28961"
"2024-04-23","27144"
"2024-04-24","25345"
"2024-04-25","23528"
"2024-04-26","20713"
"2024-04-27","11724"
"2024-04-28","10748"
"2024-04-29","26615"
"2024-04-30","24075"
"2024-05-01","12316"
"2024-05-02","25115"
"2024-05-03","22448"
"2024-05-04","12151"
"2024-05-05","10539"
"2024-05-06","27843"
"2024-05-07","25392"
"2024-05-08","24625"
"2024-05-09","24410"
"2024-05-10","21857"
"2024-05-11","11337"
"2024-05-12","10644"
"2024-05-13","30733"
"2024-05-14","24759"
"2024-05-15","23042"
"2024-05-16","22778"
"2024-05-17","22120"
"2024-05-18","11582"
"2024-05-19","10109"
"2024-05-20","27428"
"2024-05-21","21606"
"2024-05-22","20238"
"2024-05-23","19643"
"2024-05-24","16928"
"2024-05-25","8489"
"2024-05-26","6851"
"2024-05-27","20160"
"2024-05-28","16382"
"2024-05-29","13776"
"2024-05-30","6941"
"2024-05-31","9300"
"2024-06-01","5964"
"2024-06-02","5251"
"2024-06-03","15087"
"2024-06-04","10863"
"2024-06-05","8630"
"2024-06-06","8345"
"2024-06-07","7679"
"2024-06-08","3856"
"2024-06-09","3221"
"2024-06-10","9813"
"2024-06-11","8309"
"2024-06-12","7426"
"2024-06-13","7422"
"2024-06-14","6548"
"2024-06-15","3303"
"2024-06-16","3169"
"2024-06-17","8276"
"2024-06-18","6924"
"2024-06-19","6544"
"2024-06-20","6396"
"2024-06-21","5315"
"2024-06-22","2663"
"2024-06-23","2414"
"2024-06-24","6861"
"2024-06-25","6218"
"2024-06-26","5055"
"2024-06-27","4856"
"2024-06-28","3928"
"2024-06-29","2466"
"2024-06-30","1797"
"2024-07-01","3947"
"2024-07-02","3492"
"2024-07-03","3300"
"2024-07-04","3534"
"2024-07-05","2825"
"2024-07-06","1256"
"2024-07-07","1125"
"2024-07-08","2072"
"2024-07-09","1159"
"2024-07-10","2682"
"2024-07-11","2925"
"2024-07-12","2304"
"2024-07-13","954"
"2024-07-14","858"
"2024-07-15","2378"
"2024-07-16","2173"
"2024-07-17","1838"
"2024-07-18","1843"
"2024-07-19","1698"
"2024-07-20","647"
"2024-07-21","608"
"2024-07-22","2044"
"2024-07-23","1617"
"2024-07-24","1718"
"2024-07-25","1610"
"2024-07-26","1151"
"2024-07-27","603"
"2024-07-28","563"
"2024-07-29","1822"
"2024-07-30","1358"
"2024-07-31","1266"
"2024-08-01","1240"
"2024-08-02","1236"
"2024-08-03","580"
"2024-08-04","477"
"2024-08-05","1586"
"2024-08-06","1532"
"2024-08-07","1373"
"2024-08-08","1798"
"2024-08-09","1096"
"2024-08-10","379"
"2024-08-11","298"
"2024-08-12","1358"
"2024-08-13","1023"
"2024-08-14","1083"
"2024-08-15","1072"
"2024-08-16","1178"
"2024-08-17","417"
"2024-08-18","448"
"2024-08-19","1414"
"2024-08-20","1274"
"2024-08-21","1245"
"2024-08-22","1206"
"2024-08-23","943"
"2024-08-24","381"
"2024-08-25","334"
"2024-08-26","933"
"2024-08-27","833"
"2024-08-28","992"
"2024-08-29","933"
"2024-08-30","840"
"2024-08-31","390"
"2024-09-01","348"
"2024-09-02","1108"
"2024-09-03","1055"
"2024-09-04","1013"
"2024-09-05","940"
"2024-09-06","681"
"2024-09-07","311"
