"dt_notificacao","cd_municipio","casos"
"2024-01-01",350070,"1"
"2024-01-01",350390,"1"
"2024-01-01",350400,"2"
"2024-01-01",350610,"1"
"2024-01-01",350635,"5"
"2024-01-01",350760,"2"
"2024-01-01",350900,"1"
"2024-01-01",350950,"6"
"2024-01-01",351050,"4"
"2024-01-01",351110,"1"
"2024-01-01",351200,"1"
"2024-01-01",351620,"3"
"2024-01-01",351640,"7"
"2024-01-01",351840,"1"
"2024-01-01",351870,"1"
"2024-01-01",351880,"3"
"2024-01-01",352390,"2"
"2024-01-01",352440,"14"
"2024-01-01",352530,"1"
"2024-01-01",352590,"1"
"2024-01-01",352720,"1"
"2024-01-01",352760,"1"
"2024-01-01",352900,"1"
"2024-01-01",353150,"5"
"2024-01-01",353340,"1"
"2024-01-01",353570,"3"
"2024-01-01",353800,"12"
"2024-01-01",353870,"9"
"2024-01-01",353930,"1"
"2024-01-01",354340,"6"
"2024-01-01",354940,"1"
"2024-01-01",354980,"5"
"2024-01-01",354990,"5"
"2024-01-01",355030,"6"
"2024-01-01",355220,"2"
"2024-01-01",355250,"1"
"2024-01-01",355410,"5"
"2024-01-01",355480,"6"
"2024-01-01",355540,"3"
"2024-01-01",355620,"2"
"2024-01-01",355710,"5"
"2024-01-02",350100,"1"
"2024-01-02",350160,"1"
"2024-01-02",350250,"1"
"2024-01-02",350320,"1"
"2024-01-02",350390,"1"
"2024-01-02",350400,"2"
"2024-01-02",350460,"1"
"2024-01-02",350600,"4"
"2024-01-02",350610,"3"
"2024-01-02",350635,"9"
"2024-01-02",350650,"1"
"2024-01-02",350700,"1"
"2024-01-02",350750,"11"
"2024-01-02",350760,"1"
"2024-01-02",350900,"1"
"2024-01-02",350950,"31"
"2024-01-02",351050,"5"
"2024-01-02",351170,"1"
"2024-01-02",351200,"4"
"2024-01-02",351300,"1"
"2024-01-02",351310,"3"
"2024-01-02",351460,"1"
"2024-01-02",351620,"14"
"2024-01-02",351640,"5"
"2024-01-02",351740,"1"
"2024-01-02",351830,"1"
"2024-01-02",351840,"2"
"2024-01-02",351880,"4"
"2024-01-02",352030,"1"
"2024-01-02",352230,"1"
"2024-01-02",352260,"1"
"2024-01-02",352370,"2"
"2024-01-02",352390,"7"
"2024-01-02",352440,"45"
"2024-01-02",352470,"4"
"2024-01-02",352510,"1"
"2024-01-02",352530,"3"
"2024-01-02",352590,"2"
"2024-01-02",352700,"1"
"2024-01-02",352710,"2"
"2024-01-02",352720,"2"
"2024-01-02",352760,"1"
"2024-01-02",352900,"3"
"2024-01-02",352940,"1"
"2024-01-02",353010,"2"
"2024-01-02",353130,"1"
"2024-01-02",353150,"10"
"2024-01-02",353190,"2"
"2024-01-02",353360,"1"
"2024-01-02",353390,"5"
"2024-01-02",353470,"1"
"2024-01-02",353510,"14"
"2024-01-02",353700,"2"
"2024-01-02",353800,"63"
"2024-01-02",353810,"1"
"2024-01-02",353870,"15"
"2024-01-02",353930,"3"
"2024-01-02",353960,"1"
"2024-01-02",354340,"26"
"2024-01-02",354700,"1"
"2024-01-02",354780,"1"
"2024-01-02",354870,"1"
"2024-01-02",354890,"2"
"2024-01-02",354910,"1"
"2024-01-02",354980,"9"
"2024-01-02",354990,"6"
"2024-01-02",355010,"1"
"2024-01-02",355030,"36"
"2024-01-02",355180,"1"
"2024-01-02",355210,"1"
"2024-01-02",355220,"7"
"2024-01-02",355240,"1"
"2024-01-02",355410,"13"
"2024-01-02",355480,"2"
"2024-01-02",355540,"10"
"2024-01-02",355620,"2"
"2024-01-02",355640,"1"
"2024-01-02",355670,"1"
"2024-01-02",355680,"1"
"2024-01-02",355710,"5"
"2024-01-03",350110,"1"
"2024-01-03",350120,"1"
"2024-01-03",350160,"5"
"2024-01-03",350280,"1"
"2024-01-03",350320,"1"
"2024-01-03",350400,"1"
"2024-01-03",350520,"1"
"2024-01-03",350550,"2"
"2024-01-03",350600,"4"
"2024-01-03",350610,"1"
"2024-01-03",350635,"8"
"2024-01-03",350700,"4"
"2024-01-03",350750,"14"
"2024-01-03",350760,"2"
"2024-01-03",350780,"2"
"2024-01-03",350860,"1"
"2024-01-03",350900,"2"
"2024-01-03",350950,"46"
"2024-01-03",351000,"1"
"2024-01-03",351040,"1"
"2024-01-03",351050,"7"
"2024-01-03",351110,"5"
"2024-01-03",351200,"4"
"2024-01-03",351300,"1"
"2024-01-03",351310,"1"
"2024-01-03",351380,"3"
"2024-01-03",351410,"3"
"2024-01-03",351490,"1"
"2024-01-03",351530,"1"
"2024-01-03",351620,"3"
"2024-01-03",351640,"8"
"2024-01-03",351670,"1"
"2024-01-03",351700,"1"
"2024-01-03",351740,"2"
"2024-01-03",351820,"1"
"2024-01-03",351830,"1"
"2024-01-03",351840,"5"
"2024-01-03",351880,"11"
"2024-01-03",351905,"1"
"2024-01-03",352040,"2"
"2024-01-03",352050,"2"
"2024-01-03",352230,"1"
"2024-01-03",352390,"10"
"2024-01-03",352430,"3"
"2024-01-03",352440,"51"
"2024-01-03",352530,"7"
"2024-01-03",352590,"5"
"2024-01-03",352680,"1"
"2024-01-03",352690,"1"
"2024-01-03",352870,"1"
"2024-01-03",352900,"21"
"2024-01-03",353130,"1"
"2024-01-03",353150,"9"
"2024-01-03",353190,"1"
"2024-01-03",353320,"1"
"2024-01-03",353390,"13"
"2024-01-03",353440,"3"
"2024-01-03",353460,"2"
"2024-01-03",353470,"4"
"2024-01-03",353510,"17"
"2024-01-03",353570,"5"
"2024-01-03",353650,"3"
"2024-01-03",353710,"1"
"2024-01-03",353760,"1"
"2024-01-03",353800,"85"
"2024-01-03",353870,"12"
"2024-01-03",353930,"3"
"2024-01-03",354060,"1"
"2024-01-03",354070,"1"
"2024-01-03",354140,"1"
"2024-01-03",354340,"43"
"2024-01-03",354520,"1"
"2024-01-03",354580,"2"
"2024-01-03",354680,"2"
"2024-01-03",354700,"1"
"2024-01-03",354780,"1"
"2024-01-03",354850,"5"
"2024-01-03",354870,"1"
"2024-01-03",354890,"1"
"2024-01-03",354910,"1"
"2024-01-03",354970,"1"
"2024-01-03",354980,"12"
