"dt_notificacao","cd_municipio","temperatura","casos"
"2024-01-01",350070,"24.79","1"
"2024-01-01",350390,"19.98","1"
"2024-01-01",350400,"26.52","2"
"2024-01-01",350610,"24.80","1"
"2024-01-01",350635,"24.90","5"
"2024-01-01",350760,"21.37","2"
"2024-01-01",350900,"21.99","1"
"2024-01-01",350950,"21.37","6"
"2024-01-01",351050,NULL,"4"
"2024-01-01",351110,"25.03","1"
"2024-01-01",351200,"24.80","1"
"2024-01-01",351620,"21.25","3"
"2024-01-01",351640,"21.99","7"
"2024-01-01",351840,"20.87","1"
"2024-01-01",351870,"24.90","1"
"2024-01-01",351880,"19.98","3"
"2024-01-01",352390,NULL,"2"
"2024-01-01",352440,"24.90","14"
"2024-01-01",352530,"25.77","1"
"2024-01-01",352590,"21.99","1"
"2024-01-01",352720,"20.87","1"
"2024-01-01",352760,"24.28","1"
"2024-01-01",352900,"25.05","1"
"2024-01-01",353150,"24.80","5"
"2024-01-01",353340,"24.76","1"
"2024-01-01",353570,"25.03","3"
"2024-01-01",353800,"16.48","12"
"2024-01-01",353870,"24.76","9"
"2024-01-01",353930,"23.66","1"
"2024-01-01",354340,"24.29","6"
"2024-01-01",354940,"23.09","1"
"2024-01-01",354980,"23.88","5"
"2024-01-01",354990,"21.08","5"
"2024-01-01",355030,"19.98","6"
"2024-01-01",355220,NULL,"2"
"2024-01-01",355250,"24.90","1"
"2024-01-01",355410,"21.08","5"
"2024-01-01",355480,"21.08","6"
"2024-01-01",355540,"20.28","3"
"2024-01-01",355620,"21.37","2"
"2024-01-01",355710,NULL,"5"
"2024-01-02",350100,"22.23","1"
"2024-01-02",350160,"25.69","1"
"2024-01-02",350250,"23.07","1"
"2024-01-02",350320,"24.26","1"
"2024-01-02",350390,"21.22","1"
"2024-01-02",350400,"26.03","2"
"2024-01-02",350460,NULL,"1"
"2024-01-02",350600,"25.06","4"
"2024-01-02",350610,"25.12","3"
"2024-01-02",350635,"25.23","9"
"2024-01-02",350650,"27.31","1"
"2024-01-02",350700,NULL,"1"
"2024-01-02",350750,"26.01","11"
"2024-01-02",350760,"22.78","1"
"2024-01-02",350900,"22.43","1"
"2024-01-02",350950,"22.78","31"
"2024-01-02",351050,NULL,"5"
"2024-01-02",351170,"25.69","1"
"2024-01-02",351200,"25.12","4"
"2024-01-02",351300,"22.43","1"
"2024-01-02",351310,"25.55","3"
"2024-01-02",351460,"24.73","1"
"2024-01-02",351620,"22.23","14"
"2024-01-02",351640,"22.43","5"
"2024-01-02",351740,"25.06","1"
"2024-01-02",351830,"25.23","1"
"2024-01-02",351840,"22.90","2"
"2024-01-02",351880,"21.22","4"
"2024-01-02",352030,"24.93","1"
"2024-01-02",352230,"21.03","1"
"2024-01-02",352260,"24.81","1"
"2024-01-02",352370,"22.23","2"
"2024-01-02",352390,NULL,"7"
"2024-01-02",352440,"25.23","45"
"2024-01-02",352470,"24.81","4"
"2024-01-02",352510,"24.73","1"
"2024-01-02",352530,"26.01","3"
"2024-01-02",352590,"22.43","2"
"2024-01-02",352700,"24.81","1"
"2024-01-02",352710,"27.46","2"
"2024-01-02",352720,"22.90","2"
"2024-01-02",352760,"25.55","1"
"2024-01-02",352900,"24.38","3"
"2024-01-02",352940,"21.22","1"
"2024-01-02",353010,"27.31","2"
"2024-01-02",353130,"25.25","1"
"2024-01-02",353150,"25.12","10"
"2024-01-02",353190,"25.12","2"
"2024-01-02",353360,"22.23","1"
"2024-01-02",353390,"25.06","5"
"2024-01-02",353470,"24.71","1"
"2024-01-02",353510,"25.25","14"
"2024-01-02",353700,"22.23","2"
"2024-01-02",353800,"18.01","63"
"2024-01-02",353810,"25.25","1"
"2024-01-02",353870,"25.69","15"
"2024-01-02",353930,"24.85","3"
"2024-01-02",353960,NULL,"1"
"2024-01-02",354340,"24.73","26"
"2024-01-02",354700,"26.01","1"
"2024-01-02",354780,"21.22","1"
"2024-01-02",354870,"21.22","1"
"2024-01-02",354890,"24.26","2"
"2024-01-02",354910,"24.85","1"
"2024-01-02",354980,NULL,"9"
"2024-01-02",354990,"23.07","6"
"2024-01-02",355010,"26.01","1"
"2024-01-02",355030,"21.22","36"
"2024-01-02",355180,"24.43","1"
"2024-01-02",355210,"24.81","1"
"2024-01-02",355220,NULL,"7"
"2024-01-02",355240,"25.69","1"
