"dt_notificacao","casos"
"2013-12-29","74"
"2013-12-30","181"
"2013-12-31","62"
"2014-01-01","63"
"2014-01-02","195"
"2014-01-03","202"
"2014-01-04","90"
"2014-01-05","85"
"2014-01-06","246"
"2014-01-07","236"
"2014-01-08","277"
"2014-01-09","266"
"2014-01-10","242"
"2014-01-11","105"
"2014-01-12","106"
"2014-01-13","307"
"2014-01-14","304"
"2014-01-15","301"
"2014-01-16","320"
"2014-01-17","330"
"2014-01-18","129"
"2014-01-19","120"
"2014-01-20","399"
"2014-01-21","396"
"2014-01-22","423"
"2014-01-23","373"
"2014-01-24","346"
"2014-01-25","134"
"2014-01-26","143"
"2014-01-27","469"
"2014-01-28","488"
"2014-01-29","515"
"2014-01-30","524"
"2014-01-31","488"
"2014-02-01","196"
"2014-02-02","164"
"2014-02-03","595"
"2014-02-04","603"
"2014-02-05","583"
"2014-02-06","564"
"2014-02-07","572"
"2014-02-08","182"
"2014-02-09","221"
"2014-02-10","785"
"2014-02-11","750"
"2014-02-12","833"
"2014-02-13","859"
"2014-02-14","715"
"2014-02-15","295"
"2014-02-16","274"
"2014-02-17","1032"
"2014-02-18","884"
"2014-02-19","1008"
"2014-02-20","1168"
"2014-02-21","975"
"2014-02-22","397"
"2014-02-23","305"
"2014-02-24","1257"
"2014-02-25","1150"
"2014-02-26","1064"
"2014-02-27","1106"
"2014-02-28","981"
"2014-03-01","450"
"2014-03-02","334"
"2014-03-03","548"
"2014-03-04","496"
"2014-03-05","1023"
"2014-03-06","1433"
"2014-03-07","1281"
"2014-03-08","542"
"2014-03-09","450"
"2014-03-10","1454"
"2014-03-11","1424"
"2014-03-12","1368"
"2014-03-13","1556"
"2014-03-14","1483"
"2014-03-15","716"
"2014-03-16","599"
"2014-03-17","1955"
"2014-03-18","1955"
"2014-03-19","1800"
"2014-03-20","1999"
"2014-03-21","1863"
"2014-03-22","868"
"2014-03-23","841"
"2014-03-24","2595"
"2014-03-25","2469"
"2014-03-26","2669"
"2014-03-27","2854"
"2014-03-28","2971"
"2014-03-29","1359"
"2014-03-30","1115"
"2014-03-31","3610"
"2014-04-01","3336"
"2014-04-02","3778"
"2014-04-03","3416"
"2014-04-04","3354"
"2014-04-05","1441"
"2014-04-06","1287"
"2014-04-07","4529"
"2014-04-08","4436"
"2014-04-09","4674"
"2014-04-10","5328"
"2014-04-11","4874"
"2014-04-12","2242"
"2014-04-13","1676"
"2014-04-14","6208"
"2014-04-15","4920"
"2014-04-16","5404"
"2014-04-17","4456"
"2014-04-18","2677"
"2014-04-19","2603"
"2014-04-20","2178"
"2014-04-21","3081"
"2014-04-22","7345"
"2014-04-23","6471"
"2014-04-24","6452"
"2014-04-25","5820"
"2014-04-26","2808"
"2014-04-27","1790"
"2014-04-28","6598"
"2014-04-29","5844"
"2014-04-30","6248"
"2014-05-01","2733"
"2014-05-02","4184"
"2014-05-03","2568"
"2014-05-04","1747"
"2014-05-05","6662"
"2014-05-06","5443"
"2014-05-07","5013"
"2014-05-08","4535"
"2014-05-09","4082"
"2014-05-10","1745"
"2014-05-11","1114"
"2014-05-12","4544"
"2014-05-13","4145"
"2014-05-14","4348"
"2014-05-15","4056"
"2014-05-16","3801"
"2014-05-17","1659"
"2014-05-18","1151"
"2014-05-19","4404"
"2014-05-20","3989"
"2014-05-21","3479"
"2014-05-22","3450"
"2014-05-23","2667"
"2014-05-24","1055"
"2014-05-25","828"
"2014-05-26","3196"
"2014-05-27","2669"
"2014-05-28","2541"
"2014-05-29","2638"
"2014-05-30","2298"
"2014-05-31","863"
"2014-06-01","758"
"2014-06-02","2422"
"2014-06-03","2123"
"2014-06-04","1733"
"2014-06-05","1802"
"2014-06-06","1513"
"2014-06-07","689"
"2014-06-08","517"
"2014-06-09","1759"
"2014-06-10","1877"
"2014-06-11","1462"
"2014-06-12","963"
"2014-06-13","1234"
"2014-06-14","511"
"2014-06-15","441"
"2014-06-16","1665"
"2014-06-17","951"
"2014-06-18","1237"
"2014-06-19","427"
"2014-06-20","660"
"2014-06-21","362"
