"dt_notificacao","casos"
"2013-12-01","317"
"2014-01-01","8622"
"2014-02-01","19518"
"2014-03-01","46080"
"2014-04-01","125274"
"2014-05-01","97607"
"2014-06-01","32198"
"2014-07-01","13398"
"2014-08-01","7728"
"2014-09-01","7474"
"2014-10-01","8682"
"2014-11-01","8179"
"2014-12-01","10356"
"2015-01-01","47993"
"2015-02-01","143143"
"2015-03-01","322982"
"2015-04-01","270722"
"2015-05-01","134327"
"2015-06-01","35562"
"2015-07-01","11823"
"2015-08-01","7655"
"2015-09-01","7135"
"2015-10-01","9986"
"2015-11-01","14257"
"2015-12-01","27485"
"2016-01-01","67640"
"2016-02-01","109111"
"2016-03-01","131763"
"2016-04-01","81158"
"2016-05-01","30578"
"2016-06-01","8266"
"2016-07-01","4309"
"2016-08-01","3984"
"2016-09-01","4391"
"2016-10-01","6338"
"2016-11-01","8919"
"2016-12-01","9112"
"2017-01-01","10185"
"2017-02-01","10735"
"2017-03-01","12033"
"2017-04-01","8059"
"2017-05-01","6070"
"2017-06-01","3947"
"2017-07-01","2498"
"2017-08-01","3071"
"2017-09-01","5536"
"2017-10-01","8054"
"2017-11-01","6979"
"2017-12-01","6828"
"2018-01-01","9659"
"2018-02-01","8779"
"2018-03-01","9206"
"2018-04-01","8239"
"2018-05-01","7250"
"2018-06-01","4517"
"2018-07-01","3287"
"2018-08-01","2934"
"2018-09-01","2977"
"2018-10-01","4502"
"2018-11-01","5900"
"2018-12-01","9739"
"2019-01-01","31724"
"2019-02-01","70404"
"2019-03-01","105923"
"2019-04-01","171187"
"2019-05-01","182583"
"2019-06-01","69464"
"2019-07-01","25592"
"2019-08-01","11717"
"2019-09-01","10309"
"2019-10-01","11656"
"2019-11-01","12348"
"2019-12-01","16266"
"2020-01-01","54898"
"2020-02-01","97274"
"2020-03-01","85833"
"2020-04-01","51399"
"2020-05-01","33118"
"2020-06-01","20477"
"2020-07-01","14430"
"2020-08-01","8320"
"2020-09-01","7920"
"2020-10-01","7451"
"2020-11-01","7477"
"2020-12-01","9297"
"2021-01-01","14941"
"2021-02-01","35316"
"2021-03-01","70891"
"2021-04-01","85023"
"2021-05-01","58148"
"2021-06-01","26291"
"2021-07-01","10840"
"2021-08-01","8129"
"2021-09-01","8164"
"2021-10-01","7172"
"2021-11-01","8719"
"2021-12-01","15214"
"2022-01-01","6872"
"2022-02-01","13802"
"2022-03-01","60699"
"2022-04-01","110685"
"2022-05-01","100220"
"2022-06-01","27903"
"2022-07-01","10918"
"2022-08-01","5863"
"2022-09-01","3082"
"2022-10-01","3017"
"2022-11-01","3398"
"2022-12-01","4707"
"2023-01-01","13158"
"2023-02-01","33877"
"2023-03-01","83978"
"2023-04-01","95963"
"2023-05-01","63739"
"2023-06-01","16312"
"2023-07-01","4696"
"2023-08-01","3172"
"2023-09-01","2896"
"2023-10-01","3753"
"2023-11-01","5243"
"2023-12-01","10409"
"2024-01-01","50133"
"2024-02-01","174107"
"2024-03-01","435165"
"2024-04-01","616507"
"2024-05-01","561542"
"2024-06-01","184599"
"2024-07-01","57370"
"2024-08-01","29892"
"2024-09-01","5456"
