"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2013-12-01","2013","12","317","3","28","0","0","25","0","0","0","0",NULL,NULL,NULL
"2014-01-01","2014","1","8622","301","1654","174","31","1858","0","0","0","1","0.14231908199148621136","25.2551534526854220","1.7183805970149254"
"2014-02-01","2014","2","19518","490","6381","925","136","8987","0","0","0","0","0.12282751182278270970","25.8300781764318631","1.9172073048699133"
"2014-03-01","2014","3","46080","1030","12796","3350","298","26118","0","0","0","1","0.16317892018400451941","24.0778644470868014","1.9026291382717045"
"2014-04-01","2014","4","125274","2195","28230","8654","249","73996","0","0","0","1","0.09149537184806894350","21.6063969038321988","1.8166211686651232"
"2014-05-01","2014","5","97607","1600","22793","5479","121","54132","0","0","0","2","0.05049970124150751322","18.7200973761318323","1.6149815437425058"
"2014-06-01","2014","6","32198","652","7139","1297","42","15269","0","0","0","1","0.01322295936500414643","18.8512527938563815","1.6730670470756063"
"2014-07-01","2014","7","13398","366","3003","494","47","3970","0","0","0","0","0.05152847763017254543","17.9082087610235651","1.8586921708185053"
"2014-08-01","2014","8","7728","249","1146","201","25","1282","0","0","0","0","0.01713715359323626116","20.0953851573508690","2.0279083713120652"
"2014-09-01","2014","9","7474","270","894","104","9","1052","0","0","0","0","0.10288478847884788479","22.4265976597659766","2.4352571166207530"
"2014-10-01","2014","10","8682","304","1154","102","15","1324","0","0","0","0","0.05378319388868679520","23.3184521644234267","2.5206147690069116"
"2014-11-01","2014","11","8179","316","1545","183","29","1801","0","0","0","1","0.24425618989154900757","23.0983924025846877","2.1532607819427650"
"2014-12-01","2014","12","10356","311","2453","422","31","3823","0","0","0","0","0.26729807692307692308","24.0164785161462503","1.9754291146116241"
"2015-01-01","2015","1","47993","1170","16535","3893","164","30796","1583","55","80","0","0.18345439311201641097","25.9352439975730259","1.6715475741122499"
"2015-02-01","2015","2","143143","2467","38187","7614","330","96815","5370","605","756","3","0.33500373012988503548","23.8096761482104941","1.6133163724008646"
