"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2013-12-01","2013","12","280","2","26","0","0","23","0","0","0","0",NULL,NULL,NULL
"2014-01-01","2014","1","7801","220","1527","148","31","1764","0","0","0","0","0.14231908199148621136","25.2551534526854220","1.7183805970149254"
"2014-02-01","2014","2","17748","366","5895","797","134","8438","0","0","0","0","0.12282751182278270970","25.8300781764318631","1.9172073048699133"
"2014-03-01","2014","3","39678","657","10185","2473","291","22657","0","0","0","1","0.16317892018400451941","24.0778644470868014","1.9026291382717045"
"2014-04-01","2014","4","99181","1288","18942","5009","233","60570","0","0","0","1","0.09149537184806894350","21.6063969038321988","1.8166211686651232"
"2014-05-01","2014","5","79308","954","15521","3605","120","44881","0","0","0","1","0.05049970124150751322","18.7200973761318323","1.6149815437425058"
"2014-06-01","2014","6","27632","427","5274","1037","40","13137","0","0","0","1","0.01322295936500414643","18.8512527938563815","1.6730670470756063"
"2014-07-01","2014","7","11684","244","2479","416","47","3389","0","0","0","0","0.05152847763017254543","17.9082087610235651","1.8586921708185053"
"2014-08-01","2014","8","6695","178","854","167","25","1009","0","0","0","0","0.01713715359323626116","20.0953851573508690","2.0279083713120652"
"2014-09-01","2014","9","6686","209","734","95","9","901","0","0","0","0","0.10288478847884788479","22.4265976597659766","2.4352571166207530"
"2014-10-01","2014","10","7980","262","1076","93","15","1249","0","0","0","0","0.05378319388868679520","23.3184521644234267","2.5206147690069116"
"2014-11-01","2014","11","7660","264","1480","178","28","1740","0","0","0","0","0.24425618989154900757","23.0983924025846877","2.1532607819427650"
"2014-12-01","2014","12","9834","273","2396","414","31","3776","0","0","0","0","0.26729807692307692308","24.0164785161462503","1.9754291146116241"
"2015-01-01","2015","1","46241","1036","15944","3716","163","30312","1583","55","80","0","0.18345439311201641097","25.9352439975730259","1.6715475741122499"
"2015-02-01","2015","2","134893","2091","34776","6688","329","92750","5369","604","756","3","0.33500373012988503548","23.8096761482104941","1.6133163724008646"
"2015-03-01","2015","3","285724","3581","56513","17841","357","188778","6283","1091","1235","4","0.23814098537420181326","22.7168537964259040","1.4626122654901398"
"2015-04-01","2015","4","250959","3302","48798","16940","178","165031","2054","393","456","6","0.06383745422114271618","22.1450367733257648","1.7655899774177228"
"2015-05-01","2015","5","124906","1796","22279","6364","112","81369","1072","197","174","2","0.13624158544509421702","19.6349119011939866","1.6784363368298932"
"2015-06-01","2015","6","33437","793","7094","1802","90","20699","398","76","75","0","0.01788230568387226351","19.0600068286804579","1.7763506728258686"
"2015-07-01","2015","7","10652","286","3194","451","26","4762","85","29","28","0","0.08034623469766291579","19.3301077221011862","1.6603655289276204"
"2015-08-01","2015","8","6980","226","1643","262","21","2065","336","50","110","0","0.02204691638289822172","20.9113147189349112","1.8055011094674556"
"2015-09-01","2015","9","6609","213","948","103","8","1299","91","13","23","0","0.19865040330513476294","22.5512433602203423","1.9483316938815660"
"2015-10-01","2015","10","9180","274","1000","178","5","1394","107","9","22","0","0.12184640975880232881","24.3293104877711759","2.3041626659135837"
"2015-11-01","2015","11","13070","368","1810","338","3","2465","207","38","53","0","0.34414634146341463415","23.9893107104984093","1.83581331232768806617"
"2015-12-01","2015","12","25054","546","3706","1078","31","6145","678","93","149","0","0.26736221262925409095","24.3804410525794142","1.8593540561031084"
"2016-01-01","2016","1","60447","1055","9986","3038","76","20843","9292","1619","2167","0","0.40192440060756378458","24.5630451250696968","2.2227817126889566"
"2016-02-01","2016","2","93485","1575","13477","3020","130","32609","16667","3287","4674","2","0.30304688284308804337","25.2010508483084028","1.5913696501004587"
"2016-03-01","2016","3","108019","1443","11431","3696","84","39925","28688","5343","7665","1","0.18457862174436926499","24.2880270735344729","1.6326629197826188"
"2016-04-01","2016","4","68026","1045","7572","3359","76","27666","23474","4639","6552","1","0.03982347950251433065","23.8924481001341082","1.4987180464086794"
"2016-05-01","2016","5","23550","490","3461","1337","22","9199","14074","3324","4743","0","0.12657880667236954662","19.2570895600926121","1.6994486308639355"
"2016-06-01","2016","6","5963","202","594","274","2","1731","3914","1008","1458","0","0.13718750000000000000","17.4147016351667021","1.5056556319862425"
"2016-07-01","2016","7","3414","138","231","171","0","708","2309","620","821","0","0.00453669384729429207","19.5663454410674574","1.8664390243902439"
"2016-08-01","2016","8","3218","147","140","30","0","319","2275","656","935","0","0.08257653061224489796","19.2143103448275862","1.9799773139745917"
